Date,Open,High,Low,Close
2017-06-08,2642.0,2789.3,2570.1,2782.1
2017-06-07,2844.6,2850.0,2600.2,2642.6
2017-06-06,2636.9,2896.5,2620.0,2843.6
2017-06-05,2488.2,2637.5,2480.0,2636.2
2017-06-04,2461.6,2498.0,2376.4,2488.2
2017-06-03,2405.9,2481.0,2348.0,2461.0
2017-06-02,2312.0,2407.8,2271.9,2405.9
2017-06-01,2191.8,2366.7,2187.4,2311.6
2017-05-31,2147.3,2240.1,2002.1,2191.8
2017-05-30,2207.4,2263.1,2080.4,2146.7
2017-05-29,2056.9,2249.8,1990.1,2207.4
2017-05-28,1980.0,2193.0,1955.5,2056.6
2017-05-27,2125.9,2207.9,1810.0,1972.3
2017-05-26,2268.1,2477.0,2008.7,2127.3
2017-05-25,2392.6,2689.0,2142.1,2252.0
2017-05-24,2250.0,2443.8,2247.7,2394.8
2017-05-23,2087.5,2262.9,2060.0,2249.3
2017-05-22,2026.5,2219.9,1979.2,2085.5
2017-05-21,2059.3,2099.1,2001.0,2029.2
2017-05-20,1966.5,2072.2,1963.6,2059.7
2017-05-19,1941.5,2000.0,1925.0,1966.5
2017-05-18,1870.0,1949.9,1861.0,1941.5
2017-05-17,1786.2,1892.9,1766.4,1870.0
2017-05-16,1772.0,1795.1,1728.0,1785.7
2017-05-15,1826.8,1828.5,1720.0,1772.5
2017-05-14,1820.6,1852.4,1780.0,1828.1
2017-05-13,1735.0,1824.0,1666.0,1820.4
2017-05-12,1853.9,1864.8,1700.8,1735.0
2017-05-11,1796.9,1908.0,1766.6,1853.9
2017-05-10,1759.8,1817.4,1722.3,1796.8
2017-05-09,1703.5,1813.9,1695.1,1760.0
2017-05-08,1619.8,1715.0,1618.9,1703.2
2017-05-07,1597.0,1631.3,1575.1,1619.9
2017-05-06,1545.1,1605.0,1545.0,1597.1
2017-05-05,1607.2,1665.5,1511.7,1545.1
2017-05-04,1619.4,1701.9,1521.1,1607.1
2017-05-03,1558.5,1626.9,1542.0,1617.8
2017-05-02,1533.0,1604.6,1479.2,1560.0
2017-05-01,1435.0,1560.0,1432.0,1533.1
2017-04-30,1425.4,1443.5,1403.3,1435.2
2017-04-29,1415.6,1436.6,1401.5,1423.6
2017-04-28,1440.3,1447.0,1368.3,1415.6
2017-04-27,1399.3,1449.7,1392.5,1440.3
2017-04-26,1371.0,1411.7,1365.1,1399.3
2017-04-25,1345.0,1378.5,1342.1,1370.3
2017-04-24,1355.3,1359.6,1326.9,1345.0
2017-04-23,1346.4,1359.0,1336.0,1355.2
2017-04-22,1327.1,1353.1,1290.1,1347.5
2017-04-21,1308.7,1333.1,1307.5,1325.6
2017-04-20,1260.5,1325.7,1260.1,1308.4
2017-04-19,1265.4,1272.0,1255.0,1260.5
2017-04-18,1240.0,1274.8,1237.0,1265.4
2017-04-17,1212.5,1247.0,1202.2,1240.0
2017-04-16,1193.3,1217.6,1190.4,1212.0
2017-04-15,1206.8,1215.0,1190.0,1193.3
2017-04-14,1187.0,1219.1,1184.0,1206.8
2017-04-13,1227.4,1235.1,1163.5,1187.0
2017-04-12,1236.9,1239.0,1221.0,1227.4
2017-04-11,1220.3,1243.4,1209.1,1235.6
2017-04-10,1215.9,1229.9,1208.1,1220.3
2017-04-09,1188.1,1226.9,1180.2,1215.9
2017-04-08,1196.6,1202.6,1171.3,1188.1
2017-04-07,1191.5,1208.9,1176.7,1196.6
2017-04-06,1140.3,1206.4,1140.3,1191.5
2017-04-05,1145.8,1146.7,1112.3,1140.6
2017-04-04,1150.1,1161.9,1124.1,1145.0
2017-04-03,1107.8,1159.9,1107.8,1150.2
2017-04-02,1093.5,1118.2,1081.0,1107.6
2017-04-01,1081.3,1106.9,1070.2,1093.2
2017-03-31,1042.1,1089.4,1041.0,1081.7
2017-03-30,1041.7,1053.5,1022.2,1041.0
2017-03-29,1044.7,1058.9,1009.3,1041.8
2017-03-28,1042.8,1066.5,1016.8,1044.7
2017-03-27,968.9,1046.9,960.1,1042.7
2017-03-26,971.3,1005.5,950.1,969.0
2017-03-25,942.1,980.0,891.0,972.2
2017-03-24,1032.7,1034.2,928.3,943.1
2017-03-23,1039.4,1055.0,1018.0,1033.0
2017-03-22,1115.9,1116.0,986.3,1039.1
2017-03-21,1040.4,1120.9,1040.1,1115.0
2017-03-20,1016.5,1052.1,1011.2,1039.0
2017-03-19,971.9,1058.9,971.0,1016.1
2017-03-18,1067.8,1097.1,935.1,971.0
2017-03-17,1169.1,1169.6,1066.0,1068.4
2017-03-16,1256.1,1259.7,1132.5,1169.0
2017-03-15,1245.0,1262.0,1241.3,1256.1
2017-03-14,1238.5,1257.9,1218.9,1245.0
2017-03-13,1224.4,1246.9,1207.5,1238.5
2017-03-12,1172.4,1232.6,1167.5,1225.2
2017-03-11,1113.5,1196.1,1107.0,1172.8
2017-03-10,1190.4,1328.8,971.0,1113.6
2017-03-09,1150.0,1207.5,1136.0,1190.4
2017-03-08,1232.4,1243.6,1142.2,1149.3
2017-03-07,1279.2,1281.8,1185.9,1232.4
2017-03-06,1278.4,1287.8,1268.6,1279.3
2017-03-05,1267.8,1279.8,1245.3,1278.4
2017-03-04,1289.1,1291.8,1240.1,1267.8
2017-03-03,1257.6,1294.7,1256.6,1288.2
2017-03-02,1232.9,1283.1,1213.0,1262.3
2017-03-01,1189.1,1233.5,1186.0,1232.8
2017-02-28,1196.0,1216.0,1177.8,1189.1
2017-02-27,1178.3,1202.6,1171.0,1195.5
2017-02-26,1153.0,1185.9,1130.9,1178.3
2017-02-25,1185.4,1189.9,1131.5,1153.0
2017-02-24,1189.9,1222.2,1111.1,1185.1
2017-02-23,1125.5,1196.9,1120.4,1190.9
2017-02-22,1129.6,1140.0,1106.4,1125.3
2017-02-21,1091.3,1134.0,1085.0,1129.6
2017-02-20,1056.2,1100.3,1044.1,1091.2
2017-02-19,1059.8,1066.0,1045.0,1056.2
2017-02-18,1056.2,1071.1,1053.1,1059.8
2017-02-17,1038.5,1065.8,1034.1,1056.2
2017-02-16,1013.9,1045.7,1013.9,1038.4
2017-02-15,1013.3,1017.3,1002.4,1013.8
2017-02-14,996.5,1019.0,988.9,1013.7
2017-02-13,996.0,1004.5,975.9,996.5
2017-02-12,1000.1,1005.4,992.3,996.0
2017-02-11,992.1,1009.0,984.2,1000.3
2017-02-10,985.0,1002.0,949.4,992.0
2017-02-09,1049.0,1078.0,936.4,985.0
2017-02-08,1052.5,1068.0,1013.2,1048.8
2017-02-07,1022.6,1056.3,1021.7,1052.1
2017-02-06,1006.6,1026.2,1006.0,1022.6
2017-02-05,1031.1,1033.0,996.3,1006.6
2017-02-04,1016.8,1040.0,1001.6,1031.1
2017-02-03,1007.0,1020.5,988.3,1015.7
2017-02-02,983.7,1010.5,970.1,1005.7
2017-02-01,966.2,985.0,960.1,983.7
2017-01-31,917.4,969.4,916.8,966.2
2017-01-30,912.5,920.8,910.0,917.4
2017-01-29,919.4,923.0,910.7,912.6
2017-01-28,916.7,924.0,915.0,919.4
2017-01-27,915.1,922.2,905.0,916.7
2017-01-26,893.3,917.6,893.3,915.1
2017-01-25,886.1,899.6,884.2,893.3
2017-01-24,908.4,927.0,884.2,886.1
2017-01-23,923.7,928.8,910.0,910.0
2017-01-22,924.0,939.7,892.0,923.7
2017-01-21,895.7,931.0,893.9,924.0
2017-01-20,900.3,904.5,883.3,896.0
2017-01-19,887.6,908.2,884.6,900.3
2017-01-18,904.0,913.8,847.3,887.8
2017-01-17,830.1,910.8,828.0,904.0
2017-01-16,820.7,837.9,814.8,830.1
2017-01-15,815.3,823.0,805.1,820.7
2017-01-14,828.1,838.5,800.7,815.3
2017-01-13,804.6,832.3,776.0,828.1
2017-01-12,779.5,831.2,738.7,804.6
2017-01-11,905.8,922.6,760.0,778.6
2017-01-10,903.0,917.9,895.5,905.8
2017-01-09,915.9,916.1,876.3,903.0
2017-01-08,908.8,942.5,890.0,915.9
2017-01-07,898.5,911.0,816.1,908.8
2017-01-06,1003.8,1025.0,871.0,898.0
2017-01-05,1139.8,1166.0,865.4,1003.2
2017-01-04,1037.5,1150.0,1036.4,1139.6
2017-01-03,1019.3,1038.7,1013.5,1037.5
2017-01-02,999.2,1034.8,997.3,1019.3
2017-01-01,966.6,1006.5,961.3,999.0
